biomarker_id,gene_symbol,gene_id,official_name,description
1,nan,nan,TP53,tumor protein p53
2,nan,nan,BRCA1,BRCA1 DNA repair associated
3,nan,nan,BRCA2,BRCA2 DNA repair associated
4,nan,nan,EGFR,epidermal growth factor receptor
5,nan,nan,KRAS,"KRAS proto-oncogene, GTPase"
6,nan,nan,BRAF,"B-Raf proto-oncogene, serine/threonine kinase"
7,nan,nan,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
8,nan,nan,PTEN,phosphatase and tensin homolog
9,nan,nan,ALK,ALK receptor tyrosine kinase
10,nan,nan,ERBB2,erb-b2 receptor tyrosine kinase 2
